epoch,acc,loss,val_acc,val_loss
8,0.44336,1.52647875289917,0.5058,1.3788245391845704
9,0.45166,1.5056550968933105,0.5127,1.3739987493515016
0,0.23576,2.050698611907959,0.3545,1.8245573818206786
1,0.33274,1.8178962519073487,0.4019,1.667157364654541
0,0.22044,2.0812312139892577,0.3351,1.8364062294006347
1,0.3309,1.8046699726104736,0.3966,1.643202873802185
0,0.18654,2.153831541900635,0.2848,1.9857762702941895
1,0.2856,1.9447400959777832,0.368,1.807280983352661
0,0.20682,2.1176401094818114,0.3205,1.9190721195220948
1,0.30522,1.901401692199707,0.3635,1.7882456174850463
0,0.18008,2.1958001381683347,0.2543,2.0475417491912844
1,0.24458,2.060976968231201,0.2898,1.9764454639434814
0,0.09692,2.3026930040740967,0.1,2.3025878456115723
1,0.098,2.3026268872070315,0.1,2.302587257385254
0,0.17908,2.196127156906128,0.3164,1.9924828075408936
1,0.3165,1.8828998441314697,0.3385,1.8229916542053222
0,0.1703,2.2143732592773437,0.2516,2.070850377655029
1,0.2442,2.075909701156616,0.2844,1.9807238765716553
