epoch,acc,loss,val_acc,val_loss
0,0.23332,2.0659437313842774,0.3635,1.795964832496643
1,0.33438,1.7978005945205688,0.4054,1.6295631605148315
2,0.36656,1.7029349437713623,0.4216,1.5696261066436767
3,0.38466,1.6563352669525147,0.4323,1.5522586326599122
4,0.39748,1.6280000733566284,0.4544,1.4912067651748657
5,0.40758,1.6049197063446046,0.4657,1.4696583499908447
6,0.41556,1.5819367762374879,0.4688,1.4474858646392823
7,0.42064,1.5663230854797363,0.4769,1.429583048248291
8,0.43118,1.5491531063842774,0.476,1.4476790370941162
9,0.4399,1.5327819702148437,0.4888,1.4101730291366577
0,0.19112,2.187827058105469,0.2445,2.065958232307434
1,0.24422,2.056836482925415,0.2529,2.0344898645401
2,0.25702,2.015770226020813,0.2759,1.9650564331054687
3,0.26638,1.987917471847534,0.3001,1.916358850479126
4,0.27522,1.9699395150756835,0.3144,1.8896741577148437
5,0.28286,1.9526754649353026,0.3184,1.8644113466262817
6,0.29672,1.9191476205062865,0.3416,1.829186483001709
7,0.31338,1.8806292404937743,0.3353,1.8552290309906005
8,0.33294,1.8380944764709473,0.3805,1.7215592834472657
9,0.34604,1.7924663608551026,0.3949,1.6716143579483032
0,0.09916,2.3026874948120115,0.1,2.3025890365600588
1,0.09796,2.30265967590332,0.1,2.302587135696411
2,0.10104,2.302641347351074,0.1,2.302587986373901
3,0.10014,2.302630397872925,0.1,2.3025860843658448
4,0.0988,2.3026144133758546,0.1,2.302586026763916
5,0.0982,2.302642947692871,0.1,2.302585549545288
6,0.0998,2.3026373709106447,0.1,2.3025855255126952
7,0.0981,2.302635885772705,0.1,2.302586488723755
8,0.0979,2.3026383473205567,0.1,2.3025864921569825
9,0.09636,2.302642930908203,0.1,2.302586448287964
0,0.09752,2.3026963098144533,0.1,2.3025940711975097
1,0.10068,2.3026640740966795,0.1,2.302588558959961
2,0.09914,2.30265499458313,0.1,2.3025896537780763
3,0.09852,2.3026397465515136,0.1,2.302587100982666
4,0.09956,2.3026442849731446,0.1,2.3025868377685548
5,0.09984,2.3026253915405275,0.1,2.302587254714966
6,0.09616,2.3026532122802736,0.1,2.302586513900757
7,0.09784,2.302665012588501,0.1,2.302586572265625
8,0.09804,2.3026826261901854,0.1,2.302587120437622
9,0.09922,2.3026326152801513,0.1,2.3025878215789795
0,0.09914,2.3026828997802733,0.1,2.3026035762786865
1,0.09694,2.302709002532959,0.1,2.3025867740631103
2,0.09908,2.302629972457886,0.1,2.302588193511963
3,0.09802,2.3026456169128418,0.1,2.302586827468872
4,0.0983,2.3026527859497072,0.1,2.302586822128296
5,0.09728,2.302655878753662,0.1,2.302587268447876
6,0.10126,2.3026240700531004,0.1,2.302589121246338
7,0.09606,2.302662911529541,0.1,2.3025865264892578
8,0.09928,2.3026454483032226,0.1,2.302586618041992
9,0.09806,2.3026582201385497,0.1,2.3025863067626955
0,0.09792,2.3026968774414063,0.1,2.3026008567810057
